Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-DX-A6B9-01A-12R-A32Q-07,0.0744857169834095,0,0,0.0108601781223587,0,0.316303948414428,0,0,0.016213964928666,0,0.0210149222837129,0.0559324276847019,0.0555609302585866,0,0.0311674727197108,0.182150448050336,0.0072127059150161,0.000722527478914196,0.22837475716016,0,0,0,0,0.301167817376645,0.959194466071873
TCGA-VT-A80G-01A-11R-A36F-07,0.0749082282664686,0,0,0.0877310341260621,0,0.164401673301992,0.0314263218246469,0.0186730068282567,0.010192082948358,0,0,0.0393669054469249,0.0538821576842713,0,0.0866948652053145,0.310829660093247,0.00552862431834503,0,0.110739061129269,0,0,0.00562637882684389,0,0.374085767653498,0.926866762694455
TCGA-WK-A8XZ-01A-11R-A37L-07,0.076738404611294,0,0,0.0366812229899227,0,0.28363991956917,0,0,0,0,0.0215646700268552,0.0129861615428771,0.105109652408162,0,0.0585109167165152,0.257288480227225,0,0.0439430031776146,0.103537568730364,0,0,0,0,0.388460055914208,0.920763876749464
TCGA-X6-A8C6-01A-11R-A36F-07,0.0328063590069827,0,0,0.0631426513398427,0,0.156759954861737,0,0.00582902300271495,0.00184396600058281,0,0.0408666730288019,0.0081648331001046,0.0628881603647349,0,0.0474961126094359,0.508623910442676,0,0.00099123588705658,0.0705871203553301,0,0,0,0,0.585912663800994,0.822536982387658
TCGA-DX-AB36-01A-11R-A41I-07,0.0185435343686567,0,0,0,0,0.244696235765706,0,0,0.00552797053537863,0,0.0423520493062341,0.0024482075177502,0.00746325301953791,0.205230715123619,0.029123606641402,0.424125899596459,0,0.0127135979588056,0.00777493016645152,0,0,0,0,0.434527259716031,0.902038284695138
TCGA-DX-A6YQ-01A-12R-A33J-07,0.037490888388407,0,0,0.1225816221898,0,0.271851005999821,0,0,0.00719292219952079,0,0.0261744031782581,0.01959002926403,0.0405773169007931,0.0155531353473503,0.111843547475971,0.313439520407272,0,0.0165552040725725,0.0171504045762044,0,0,0,0,0.547942310393199,0.841620167399631
TCGA-QQ-A8VB-01A-11R-A37L-07,0.1621030172812,0,0.00336378572365706,0.00512122532611127,0,0.173285182879341,0,0.0390996938841452,0.00853681527748077,0,0.0423212377352081,0.00270853527825932,0.0443204458992975,0.0321709452051165,0.0428538889233957,0.202792611699288,0.00282838443765179,0,0.238494230449848,0,0,0,0,0.234810610070501,0.984579297606756
TCGA-Z4-A9VC-01A-11R-A37L-07,0.208128569921875,0,0.0179874233142959,0.0182013065095869,0,0.119445293882661,0.00777118787836964,0.00263504606090262,0.00248435375618175,0,0.0389418305851775,0,0.0265412654206571,0,0.0211076797162867,0.474713072413792,0,0,0.0620429705402139,0,0,0,0,0.478229183714886,0.878398346207488
TCGA-PC-A5DO-01A-11R-A26T-07,0.0535076402788693,0,0,0.0460490593746276,0,0.27010670469134,0.0108015969608138,0.00109437689222091,0.0608895047912017,0,0.0630991499224588,0,0.0715993582648853,0.0678886619603306,0.00956910044215506,0.29343444120504,0.0117750266562612,0.0141847736809584,0.0260006048788371,0,0,0,0,0.518021779079247,0.860615931235204
TCGA-X6-A7WC-01A-12R-A355-07,0.0161295366162808,0,0,0.116304142872569,0,0.147124402771057,0.0956424215381525,0.0152197302647278,0.0313671534415028,0,0.00818812200837904,0.0669895034179656,0.000539980794771262,0.104849699536185,0.0510022474669333,0.325728883132155,0,0,0,0.0209141761393204,0,0,0,0.533511903841694,0.849790912267301
