Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-DX-A6B9-01A-12R-A32Q-07	0.02630709199368	0	0	0.0400289262101648	0	0.390860345225563	0	0	0	0	0.0104989674686806	0.0538144026877657	0.0689895150582095	0	0	0.171161949916403	0	0.00804856192621454	0.230290239513319	0	0	0	9999	0.0561667797967054	1.06845384927168
TCGA-VT-A80G-01A-11R-A36F-07	0.0516774189666352	0	0	0.110031532065216	0	0.120154711337737	0	0.0317018079386912	0	0	0	0.0561108495396988	0.0582310487677464	0	0.0981155528453345	0.385075273678253	0.000732990542737369	0	0.0881688143179506	0	0	0	9999	0.044900844903919	1.06728488642546
TCGA-WK-A8XZ-01A-11R-A37L-07	0.0719839400549679	0	0	0	0	0.309915650142565	0	0	0	0	0.0131455783830382	0.0152355926719576	0.106880322555294	0	0.0921006396849071	0.284647398511183	0	0	0.106090877996087	0	0	0	9999	0.0186232880233059	1.06986085635249
TCGA-X6-A8C6-01A-11R-A36F-07	0.0699931266473164	0	0	0.0742259407464843	0	0.118522993090385	0	0	0.00185909107573355	0	0	0.0330140339995747	0.0564665620005574	0	0.0351116114249825	0.493569239194144	0	0	0.117080402028922	0	0.000156999791900767	0	9999	0.109364228714094	1.04521332716365
TCGA-DX-AB36-01A-11R-A41I-07	0.155393102521266	0	0	0.0168580943631985	0	0.339223162199941	0	0	0.0113713415576189	0	0.0217568480584104	0.0485481230681125	0.0656010583950789	0.13954593675234	0.009633449791853	0.164139649103494	0	0	0.0266214541190858	0	0.00130778006960136	0	9999	0.0623984671060957	1.06244447421289
TCGA-DX-A6YQ-01A-12R-A33J-07	0.00371543293149979	0	0	0.131670143722113	0	0.202967992525234	0.00123730390554193	0	0	0	0.034424392967145	0.00230593440378822	0.031109443932616	0	0.184321359184759	0.362623145448816	0	0	0.0456248509784868	0	0	0	9999	0.275402576497178	0.982321271938951
TCGA-QQ-A8VB-01A-11R-A37L-07	0.211591084472658	0	0	0.0197502924009215	0	0.126977952286892	0	0	0.026534862371569	0	0.0230520095191178	0.0192319541992095	0.0391452266029275	0	0.0411220612192901	0.215683062476284	0	0	0.276911494451131	0	0	0	9999	-0.0154360776126479	1.09059839273344
TCGA-Z4-A9VC-01A-11R-A37L-07	0.140793240528745	0	0.0188814858666808	0.0733347702836399	0	0.233967722650451	0.00011756216253308	0.00504307718788345	0.0257076062905224	0	0.0657223870852966	0	0.0755731643161879	0	0.0106724867612719	0.222733358749074	0	0	0.121162988222855	0	0.00629014989485881	0	9999	0.0941858716472324	1.04022163057005
TCGA-PC-A5DO-01A-11R-A26T-07	0.0757307822828974	0	3.08834916100565e-05	0.0579371355138714	0	0.204408646292402	0.00541718277900821	0	0.0632973209808149	0	0.0704561332913138	0	0.0644733646749491	0.0629307110959582	0.00375011230591201	0.360410020091944	0	0.0122776671901465	0.018880040009172	0	0	0	9999	0.124520485898024	1.03608390578485
TCGA-X6-A7WC-01A-12R-A355-07	0.0332111202921693	0	0	0.11503596424702	0	0.100784133718732	0.110691232321723	0.0228041743401706	0.0115778947014325	0	0	0.0549075692980773	0.00117665098632112	0.139294257940491	0.0340140143866864	0.341612280200029	0	0	0	0.0348907075671481	0	0	9999	0.508837274590282	0.863022086234168
TCGA-DX-A7ES-01A-31R-A39D-07	0.215317955130224	0	0.12230423004628	0.0843796964926472	0	0.143562347605786	0.0101602000401355	0.00453541197849251	0.00706327661907796	0	0	0.0266551332657366	0.0360390917744697	0	0.0381452997041765	0.277065122684124	0	0	0.0333856183649461	0	0	0.00138661629390372	9999	0.423665671974877	0.905853417579713
TCGA-K1-A42X-01A-11R-A24X-07	0.0929529571096841	0	0	0.0201489576026684	0	0.307236816183594	0	0	0	0	0.0225170623590032	0.00479430733966493	0.0367788101541262	0	0.000394489249438599	0.190771214313724	0	0.0135635676389744	0.310841818049123	0	0	0	9999	0.0200139826806073	1.08046770546282
TCGA-DX-A6YZ-01A-12R-A355-07	0.0138997157924705	0	0	0.0346290095230596	0	0.171597623907878	0.00467126603655888	0.00951221383981586	0.00117521064688076	0	0.00289410373890003	0.0270709250059464	0.0587658107114891	0	0.0151907399507537	0.422032441283067	0	0.0438380579760374	0.194722881587143	0	0	0	9999	0.143897664052607	1.02705537728863
TCGA-DX-A8BV-01A-11R-A37L-07	0.079319865974332	0	0	0	0	0.213785911972811	0	0	0.0297731035011726	0	0.0654366664686526	0.0347176221716779	0.0605496208099973	0.137833956086458	0.0101040553500133	0.334520276630405	0	0.0114515578277656	0.022507363206714	0	0	0	9999	0.176496051814365	1.01601516955894
TCGA-QQ-A5V9-01A-11R-A32Q-07	0.0397190544472228	0	0.00121675138780667	0.0595557637698868	0	0.106086993434451	0.0569708120677955	0	0.0147783975430764	0	0.0642916216129944	0	0.00259637701773149	0.0548567448213467	0.00671772862105251	0.580477137211119	0	0.00870599149307089	0	0.00248448818880516	0	0.00154213838364081	9999	0.235540612934225	1.00285726145529
TCGA-DX-AB35-01A-21R-A41I-07	0.0738193146290493	0	0	0.0417850093114854	0	0.206714637216326	0	0.00224406620860099	0.0227064590481777	0	0	0.0691267402312186	0.0517684750044386	0	0.0702732117966312	0.453955605480085	0	0.00135285674560984	0.00625362432837755	0	0	0	9999	0.079245534434574	1.06158784660657
TCGA-DX-A3UA-01A-12R-A30C-07	0.0532891953011777	0	0.000462847998781516	0	0	0.0179774967760411	0.0160920354483864	0.0313239507622639	0.0240408383607511	0.00180217066752941	0	0.00496815440523213	0	0.420536116499628	0.0504160822905076	0.305770556104616	0	0	0.0733205553850853	0	0	0	9999	0.687046126383848	0.737453572062108
TCGA-DX-A6YS-01A-12R-A355-07	0.0611676247696446	0	0	0.0495334903731548	0	0.218195170265497	0.00863624060958267	0.000858331985521801	0	0	0	0.0514193642348614	0.0427262483423298	0	0.0937702738615326	0.340805093319868	0	0	0.132888162238008	0	0	0	9999	-0.012707448720996	1.08438110160778
TCGA-DX-A8BT-01A-11R-A37L-07	0.00510147337003202	0.0115176727687816	0.00343503678736648	0.0246463880145235	0	0.13170918930445	0	0	0.00545543198239036	0	0	0.0273772400398438	0	0.189959183550734	0.020801252177202	0.555382048296193	0	0.0227081952472616	0.00190688846122168	0	0	0	9999	0.292229629020089	0.987414798578782
